eco	name	pgn	uci	epd
B20	Sicilian Defense	1. e4 c5	e2e4 c7c5	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B27	Sicilian Defense	1. e4 c5 2. Nf3	e2e4 c7c5 g1f3	rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C50	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4	e2e4 e7e5 g1f3 b8c6 f1c4	r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -
D06	Queen's Gambit	1. d4 d5 2. c4	d2d4 d7d5 c2c4	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -
D70	Gruenfeld Defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5
B90	Sicilian Defense: Najdorf Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6
B70	Sicilian Defense: Dragon Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6
B80	Sicilian Defense: Scheveningen Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6
B33	Sicilian Defense: Sveshnikov Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5
B34	Sicilian Defense: Accelerated Dragon	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6
B22	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3
B31	Sicilian Defense: Rossolimo Variation	1. e4 c5 2. Nf3 Nc6 3. Bb5
C02	French Defense: Advance Variation	1. e4 e6 2. d4 d5 3. e5
C03	French Defense: Tarrasch Variation	1. e4 e6 2. d4 d5 3. Nd2
C15	French Defense: Winawer Variation	1. e4 e6 2. d4 d5 3. Nc3 Bb4
C11	French Defense: Classical Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6
C01	French Defense: Exchange Variation	1. e4 e6 2. d4 d5 3. exd5 exd5
B12	Caro-Kann Defense: Advance Variation	1. e4 c6 2. d4 d5 3. e5
B18	Caro-Kann Defense: Classical Variation	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
B13	Caro-Kann Defense: Panov-Botvinnik Attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4
B11	Caro-Kann Defense: Two Knights Attack	1. e4 c6 2. Nf3 d5 3. Nc3
D30	Queen's Gambit Declined	1. d4 d5 2. c4 e6
D20	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4
D17	Slav Defense: Czech Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4
D43	Semi-Slav Defense	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6
E20	Nimzo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E60	King's Indian Defense	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6
A56	Benoni Defense	1. d4 Nf6 2. c4 c5 3. d5 e6
D85	Gruenfeld Defense: Exchange Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4
E01	Catalan Opening: Closed Variation	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7
E15	Queen's Indian Defense: Fianchetto Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6
A20	English Opening: King's English	1. c4 e5
A30	English Opening: Symmetrical Variation	1. c4 c5
A04	Reti Opening: King's Indian Attack	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. O-O e5
D02	London System	1. d4 d5 2. Bf4 Nf6 3. e3
B01	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5
B09	Pirc Defense: Austrian Attack	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4
A87	Dutch Defense: Leningrad Variation	1. d4 f5 2. g3 Nf6 3. Bg2 g6
A90	Dutch Defense: Stonewall Variation	1. d4 f5 2. c4 e6 3. Nf3 Nf6 4. g3 d5
C34	King's Gambit Accepted	1. e4 e5 2. f4 exf4 3. Nf3
B03	Alekhine's Defense: Four Pawns Attack	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
B00	Nimzowitsch Defense: Scandinavian Variation	1. e4 Nc6 2. d4 d5
A03	Bird's Opening: Dutch Variation	1. f4 d5 2. Nf3 Nf6 3. e3
C41	Philidor Defense	1. e4 e5 2. Nf3 d6
C24	Bishop's Opening	1. e4 e5 2. Bc4
C44	Ponziani Opening	1. e4 e5 2. Nf3 Nc6 3. c3
C57	Italian Game: Two Knights Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C65	Ruy Lopez: Berlin Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
C88	Ruy Lopez: Closed Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O
B44	Sicilian Defense: Taimanov Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6
B41	Sicilian Defense: Kan Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
B21	Sicilian Defense: Smith-Morra Gambit	1. e4 c5 2. d4 cxd4 3. c3
B23	Sicilian Defense: Closed Variation	1. e4 c5 2. Nc3 Nc6 3. g3 g6
B52	Sicilian Defense: Moscow Variation	1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7
C10	French Defense: Rubinstein Variation	1. e4 e6 2. d4 d5 3. Nc3 dxe4
C12	French Defense: MacCutcheon Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Bb4
C07	French Defense: Tarrasch Open System	1. e4 e6 2. d4 d5 3. Nd2 c5
C00	French Defense: King's Indian Attack	1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3
B15	Caro-Kann Defense: Tartakower Variation	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6
B12	Caro-Kann Defense: Advance Short Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6
B14	Caro-Kann Defense: Panov-Botvinnik Main Line	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3
B01	Scandinavian Defense: Modern Variation	1. e4 d5 2. exd5 Nf6
B01	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6
E32	Nimzo-Indian Defense: Classical Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2
E54	Nimzo-Indian Defense: Rubinstein Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 6. Nf3
E24	Nimzo-Indian Defense: Samisch Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3
E90	King's Indian Defense: Classical Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5
E97	King's Indian Defense: Bayonet Attack	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6 8. d5 Ne7 9. b4
E80	King's Indian Defense: Samisch Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3
A61	Modern Benoni Defense	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6
A62	Modern Benoni Defense: Fianchetto Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3
E04	Catalan Opening: Open Variation	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4
E06	Catalan Opening: Closed Variation Main Line	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O
D35	Queen's Gambit Declined: Exchange Variation	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5
D60	Queen's Gambit Declined: Orthodox Defense	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nf3
D27	Queen's Gambit Accepted: Classical Variation	1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. e3
D08	Queen's Gambit: Albin Countergambit	1. d4 d5 2. c4 e5
D00	Jobava London System	1. d4 d5 2. Nc3 Nf6 3. Bf4
D02	London System: Main Line	1. d4 Nf6 2. Nf3 d5 3. Bf4
D02	London System: Early Bf4	1. d4 d5 2. Bf4 Nf6
A29	English Opening: Four Knights Variation	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6
A25	English Opening: Closed System	1. c4 e5 2. Nc3 Nc6 3. g3 g6
A34	English Opening: Symmetrical Fianchetto	1. c4 c5 2. Nc3 Nc6 3. g3 g6
B08	Pirc Defense: Classical System	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7
B06	Modern Defense	1. e4 g6 2. d4 Bg7 3. Nc3 d6
D90	Gruenfeld Defense: Three Knights Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3
D91	Gruenfeld Defense: Russian System	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3
D80	Gruenfeld Defense: Stockholm Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bg5
B04	Alekhine's Defense: Modern Variation	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
B05	Alekhine's Defense: Exchange Variation	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
B02	Alekhine's Defense: Chase Variation	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5
B00	Nimzowitsch Defense: Kennedy Variation	1. e4 Nc6 2. d4 e5
B00	Nimzowitsch Defense: Colorado Countergambit	1. e4 Nc6 2. Nf3 f5
A09	Reti Opening: Advance Variation	1. Nf3 d5 2. c4 d4
A07	Reti Opening: Barcza System	1. Nf3 d5 2. g3 Nf6 3. Bg2 g6 4. O-O Bg7
A02	Bird's Opening: From's Gambit	1. f4 e5
A03	Bird's Opening: Leningrad Variation	1. f4 d5 2. Nf3 g6 3. g3 Bg7
A84	Dutch Defense: Classical Variation	1. d4 f5 2. c4 Nf6 3. Nc3 e6
A80	Dutch Defense: Hopton Attack	1. d4 f5 2. Bg5
D13	Slav Defense: Exchange Variation	1. d4 d5 2. c4 c6 3. cxd5 cxd5
D15	Slav Defense: Quiet Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3
D46	Semi-Slav Defense: Meran Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 Nbd7 6. Bd3 dxc4 7. Bxc4 b5
E14	Queen's Indian Defense: Classical Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. e3
E17	Queen's Indian Defense: Main Line	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7
E11	Bogo-Indian Defense: Nimzowitsch Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Nbd2
E11	Bogo-Indian Defense: Exchange Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Bxd2+ 5. Qxd2
C33	King's Gambit Accepted: Bishop's Gambit	1. e4 e5 2. f4 exf4 3. Bc4
C33	King's Gambit Accepted	1. e4 e5 2. f4 exf4
C37	King's Gambit Accepted: Muzio Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. O-O
B07	Pirc Defense: 150 Attack	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Qd2
A56	Benoni Defense: Czech Benoni	1. d4 Nf6 2. c4 c5 3. d5 e5
A02	Bird's Opening: Williams Gambit	1. f4 d5 2. e4 dxe4
E04	Catalan Opening: Open Variation Main Line	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Nf3
C31	King's Gambit Declined: Falkbeer Countergambit	1. e4 e5 2. f4 d5
D02	London System: Accelerated London	1. d4 Nf6 2. Bf4
B00	Nimzowitsch Defense: Bogoljubov Variation	1. e4 Nc6 2. d4 d6
E12	Queen's Indian Defense: Petrosian Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3
E11	Bogo-Indian Defense: Gruenfeld Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Qe7
E11	Bogo-Indian Defense: Haiti Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Nbd2 b6
A13	Reti Opening: Neo-Catalan	1. Nf3 d5 2. c4 e6 3. g3 Nf6 4. Bg2 Be7
B01	Scandinavian Defense: Portuguese Variation	1. e4 d5 2. exd5 Nf6 3. d4 Bg4
B02	Alekhine's Defense: Two Pawns Attack	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6
B07	Pirc Defense: Byrne Variation	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5
A43	Benoni Defense: Old Benoni	1. d4 c5 2. d5 e5
A03	Bird's Opening: Stonewall Attack	1. f4 d5 2. Nf3 Nf6 3. e3 e6 4. b3
E11	Bogo-Indian Defense: Vitolins Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 c5
E05	Catalan Opening: Open Variation Classical Line	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Nf3 Be7
A82	Dutch Defense: Staunton Gambit	1. d4 f5 2. e4
D76	Gruenfeld Defense: Fianchetto Variation	1. d4 Nf6 2. c4 g6 3. g3 d5 4. Bg2 Bg7
C30	King's Gambit Declined: Classical Variation	1. e4 e5 2. f4 Bc5
E76	King's Indian Defense: Four Pawns Attack	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f4
D02	London System: Barry Attack	1. d4 Nf6 2. Nf3 g6 3. Bf4
E30	Nimzo-Indian Defense: Leningrad Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bg5
B00	Nimzowitsch Defense: Declined Variation	1. e4 Nc6 2. Nf3
E12	Queen's Indian Defense: Kasparov Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. Nc3 Bb7 5. a3
A07	Reti Opening: King's Indian Attack, Yugoslav Variation	1. Nf3 d5 2. g3 Nf6 3. Bg2 c6 4. O-O Bg4
B01	Scandinavian Defense: Icelandic-Palme Gambit	1. e4 d5 2. exd5 Nf6 3. c4 e6
B04	Alekhine's Defense: Alburt Variation	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
B06	Modern Defense: Averbakh System	1. e4 g6 2. d4 Bg7 3. c4 d6 4. Nc3
A57	Benoni Defense: Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5
A03	Bird's Opening: Lasker Variation	1. f4 d5 2. Nf3 Nf6 3. e3 c5
E11	Bogo-Indian Defense: New England Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 a5
E08	Catalan Opening: Closed Variation Botvinnik Variation	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O c6
A85	Dutch Defense: Queen's Knight Variation	1. d4 f5 2. c4 Nf6 3. Nc3
A22	English Opening: Bremen System	1. c4 e5 2. Nc3 Nf6 3. g3
D92	Gruenfeld Defense: Hungarian Attack	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4
C39	King's Gambit Accepted: Kieseritzky Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5
E92	King's Indian Defense: Petrosian Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. d5
D02	London System: Poisoned Pawn Variation	1. d4 d5 2. Bf4 c5 3. e3 Qb6 4. Nc3
E33	Nimzo-Indian Defense: Kmoch Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. f3
B00	Nimzowitsch Defense: Mikenas Variation	1. e4 Nc6 2. d4 e5 3. d5
E16	Queen's Indian Defense: Capablanca Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Bb4+
A09	Reti Opening: Reti Gambit	1. Nf3 d5 2. c4 dxc4
B01	Scandinavian Defense: Gubinsky-Melts Defense	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6
D16	Slav Defense: Alapin Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4
B05	Alekhine's Defense: Voronezh Variation	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. Be3 Bg7 8. Rc1 O-O 9. b3
B09	Pirc Defense: Austrian Attack Dragon Formation	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Bd3
A70	Benoni Defense: Classical Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7
A03	Bird's Opening: Classical Variation	1. f4 d5 2. Nf3 Nf6 3. e3 g6 4. b3 Bg7 5. Bb2 O-O
E11	Bogo-Indian Defense: Wade-Smyslov Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 a5 5. g3
E09	Catalan Opening: Closed Variation Main Line	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O Nbd7 7. Qc2
A81	Dutch Defense: Leningrad Main Variation	1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O 6. c4 d6
A28	English Opening: Four Knights Fianchetto Line	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3
D75	Gruenfeld Defense: Modern Exchange Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7
C37	King's Gambit Accepted: Salvio Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. Ne5 Qh4+ 6. Kf1
E98	King's Indian Defense: Mar del Plata Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6 8. d5 Ne7
D02	London System: Mason Attack	1. d4 d5 2. Bf4 Nf6 3. e3 c5 4. c3 Nc6 5. Nd2
E37	Nimzo-Indian Defense: Classical Noa Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 d5
D31	Queen's Gambit Declined: Semi-Tarrasch Defense	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5
E18	Queen's Indian Defense: Old Main Line	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O
A08	Reti Opening: King's Indian Attack French Variation	1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O Be7
B01	Scandinavian Defense: Marshall Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3
D18	Slav Defense: Dutch Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5
B04	Alekhine's Defense: Balogh Variation	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
B09	Pirc Defense: Austrian Attack Weiss Variation	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. e5 dxe5 6. fxe5 Nd5
A70	Benoni Defense: Taimanov Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
A02	Bird's Opening: Hobbs Gambit	1. f4 g5
E11	Bogo-Indian Defense: Monticelli Trap	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Bxd2+ 5. Qxd2 b6
B12	Caro-Kann Defense: Fantasy Variation	1. e4 c6 2. d4 d5 3. f3
E05	Catalan Opening: Open Defense	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Qa4+
A80	Dutch Defense: Raphael Variation	1. d4 f5 2. Nc3
A18	English Opening: Mikenas-Carls Variation	1. c4 Nf6 2. Nc3 e6 3. e4
D94	Gruenfeld Defense: Classical Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3
C39	King's Gambit Accepted: Allgaier Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ng5
E73	King's Indian Defense: Averbakh Variation	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5
D00	London System: Jobava-Rapport Variation	1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. e3
E41	Nimzo-Indian Defense: Huebner Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 c5 5. Bd3 Nc6 6. Nf3 Bxc3+ 7. bxc3 d6
B00	Nimzowitsch Defense: Franco-Nimzowitsch Variation	1. e4 Nc6 2. Nf3 e6 3. d4 d5
D34	Queen's Gambit Declined: Tarrasch Defense	1. d4 d5 2. c4 e6 3. Nc3 c5
E12	Queen's Indian Defense: Kasparov-Petrosian Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3 Ba6
A12	Reti Opening: Anglo-Slav Variation	1. Nf3 d5 2. c4 c6
B01	Scandinavian Defense: Blackburne-Kloosterboer Gambit	1. e4 d5 2. exd5 c6
D15	Slav Defense: Geller Gambit	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. e4
B02	Alekhine's Defense: Scandinavian Variation	1. e4 Nf6 2. Nc3 d5
B09	Pirc Defense: Austrian Attack Ljubojevic Variation	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 c5
A70	Benoni Defense: Mikenas Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. e5
A03	Bird's Opening: Dutch Variation Main Line	1. f4 d5 2. Nf3 Nf6 3. e3 g6 4. b3 Bg7 5. Bb2 O-O 6. Be2
E11	Bogo-Indian Defense: Retreat Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Be7
B16	Caro-Kann Defense: Bronstein-Larsen Variation	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6
E09	Catalan Opening: Closed Variation Rabinovich Variation	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O c6 7. Qc2 b6
A96	Dutch Defense: Ilyin-Zhenevsky Variation	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6
A36	English Opening: Botvinnik System	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e4
D97	Gruenfeld Defense: Russian Variation Prins Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O
C34	King's Gambit Accepted: Fischer Defense	1. e4 e5 2. f4 exf4 3. Nf3 d6
E62	King's Indian Defense: Fianchetto Variation	1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d6 6. O-O
D02	London System: Main Line with c3	1. d4 Nf6 2. Nf3 d5 3. Bf4 e6 4. e3 c5 5. c3
E25	Nimzo-Indian Defense: Samisch Main Line	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3
B00	Nimzowitsch Defense: El Columpio Defense	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4
D20	Queen's Gambit Accepted: Central Variation	1. d4 d5 2. c4 dxc4 3. e4
E15	Queen's Indian Defense: Fianchetto Nimzowitsch Variation	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3
A09	Reti Opening: Reversed Benoni	1. Nf3 d5 2. c4 d4 3. b4
D17	Slav Defense: Smyslov Variation	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Na6
B02	Alekhine's Defense: Brooklyn Variation	1. e4 Nf6 2. e5 Ng8
B09	Pirc Defense: Austrian Attack Kurajica Variation	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Be3
A70	Benoni Defense: Fianchetto Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. g3
A03	Bird's Opening: Polar Bear System	1. f4 d5 2. Nf3 Nf6 3. g3 g6 4. Bg2 Bg7 5. O-O O-O
E11	Bogo-Indian Defense: Vienna Variation	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Nbd2 d5
B17	Caro-Kann Defense: Karpov Variation	1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7
E05	Catalan Opening: Open Variation Alekhine Variation	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Qa4+ Nbd7
C11	French Defense: Steinitz Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7
