rank	score	scoreReasons	id	gameName	reviewGroup	verdict	diagnosis	blockers	ownerFailureCodes	engineAgreement	plannerOwnership	surfaceGate	mainProofSource	mainClaimScope	packetSummary	contract	contractStatus	contractFailures	release	taxonomy	ply	fen	playedUci	enginePv	primary	moveReview	reason
11	140	engine_top_pv	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-31	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	31	1rbn1rk1/2q1bppp/3p1n2/1ppPp3/4P3/2P2N1P/1PBN1PP1/R1BQR1K1 w - - 0 16	b2b4	b2b4 f6e8 d2f1 f7f6 d1e2 g7g6 c3c4 b5c4 b4c5 c7c5 c1h6 e8g7 e1c1 c4c3 h6e3 c5c7 a1a7 b8b7 a7a3 f6f5	-	This moves the pawn to b4.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
12	140	engine_top_pv	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-33	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	33	1rb2rk1/1nq1bppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2BN1PP1/R1BQR1K1 w - - 1 17	d2f1	d2f1 c8d7 c1g5 b8a8 d1d2 f8c8 c2d3 h7h6 g5e3 f6h5 d2e2 c5c4 d3c2 b7d8 f1g3	-	This puts the knight on f1.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
13	140	engine_top_pv	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-39	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	39	r1r3k1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2P1BN1P/2BQ1PP1/R3RNK1 w - - 7 20	c2d3	c2d3 c5c4 d3c2 b7d8 f3h2 c7b7 f2f4 a8a1 e1a1 c8a8 a1a8 b7a8 f4f5 f6e8 g2g4 f7f6 g1f2 d8f7 f2e2 a8a1 f1g3 e7d8 e3f2 g7g6 h3h4 a1a6 d2c1 a6c8 c1g1	-	This puts the bishop on d3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
14	120	engine_near_top	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-26	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=e4c3_gap=6cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	26	r1b1rnk1/pp2qppp/2p5/3p4/1P1Pn3/2NBPN2/P1Q2PPP/1R3RK1 b - - 0 13	a7a6	e4c3 c2c3 a7a6 a2a4 c8g4 f3e5 g4h5 c3c5 f7f6 c5e7 e8e7 e5f3 g7g5 f1c1 h5g6	-	This moves the pawn to a6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
15	120	engine_near_top	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-34	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=a8c8_gap=13cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	34	r3rnk1/1p3ppp/p1p5/3p2q1/PP1P2b1/2QBP3/3N1PPP/1RR3K1 b - - 4 17	e8e6	a8c8 c3b2 f8g6 d2f1 g6h4 f1g3 g4f5 d3f5 h4f5 b4b5 a6b5 g3f5 g5f5 a4b5 h7h5 b5c6 b7c6	-	This puts the rook on e6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
16	120	engine_near_top	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-35	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=d2f1_gap=9cp	primary_CertifiedOwner	certified_owner_surface_not_blocking	color_complex_squeeze_probe	PositionLocal	proof_source=color_complex_squeeze_probe;proof_family=color_complex_squeeze;scope=PositionLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=f5+weak_square:f5+color_complex:light+minor_piece:bishop_d3+attacks:f5+minor_piece_attack:d3-f5+color_complex_squeeze_probe+color_complex_squeeze+coordination improvement+c5+f4+supports immediate tactical gain counterplay+central foothold+outpost pressure+d5+contest the pawn on d5+...b7-b5+b5+f5+weak_square:f5+color_complex:light+minor_piece:bishop_d3+attacks:f5+minor_piece_attack:d3-f5+color_complex_squeeze_probe+color_complex_squeeze+f2+b-file+a-file+queenside;continuation=b4b5|g4h3+Bh3+color_complex_squeeze_probe+weak_square:f5+f5+best_branch:g2g3|a6b5+g2g3+a6b5;suppression=;risks=	runtime:color_complex_squeeze	Releasable	-	CertifiedOwner	source_carlsbad_fixed_target	35	r4nk1/1p3ppp/p1p1r3/3p2q1/PP1P2b1/2QBP3/3N1PPP/1RR3K1 w - - 5 18	b4b5	d2f1 g4f5 d3f5 g5f5 b4b5 a6b5 a4b5 h7h5 c3c2 f5g5 b5c6 b7c6 b1b6 a8c8 c2b1	This keeps ...b7-b5 from coming right away.	The key strategic fact here is that This keeps ...b7-b5 from coming right away. So the task is to keep the minor-piece color-complex pressure centered on f5 stable.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
17	120	engine_near_top	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-38	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=h7h5_gap=3cp	main_claim_scope=MoveLocal	not_reached_no_release	counterplay_axis_suppression	MoveLocal	proof_source=counterplay_axis_suppression;proof_family=neutralize_key_break;scope=MoveLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=h2-h3+h3+coordination improvement+c4+d6+supports immediate tactical gain counterplay+central foothold+improves piece placement+c3+contest the queen on c3+h2-h3+h3+c6+b5+b-file+queenside;continuation=g4h3|g2g3+g3;suppression=;risks=	runtime:neutralize_key_break	Releasable	-	-	source_carlsbad_fixed_target	38	r4nk1/1p3ppp/2p1r3/1P1p2q1/3P2b1/2QBP3/3N1PPP/1RR3K1 b - - 0 19	g4h3	h7h5 g1h1 g5f6 c1f1 e6e8 h2h3 g4d7 b5c6 d7c6 d2f3 f8d7 c3b3 g7g6 h1g1	-	This puts the bishop on h3. It also creates a pin.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhyNow:admission_missing_owner_candidate+scene=forcing_defense
18	120	engine_near_top	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-34	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=f8e8_gap=2cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	34	1rb2rk1/1nq1bppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2B2PP1/R1BQRNK1 b - - 2 17	c8d7	f8e8 c1e3 c8d7 f1g3 b8a8 c2d3 g7g6 e3g5 e8b8 d1d2 a8a1 e1a1 c7c8 g5e3	-	This puts the bishop on d7.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
19	120	engine_near_top	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-36	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=f8c8_gap=10cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	36	1r3rk1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2P1BN1P/2B2PP1/R2QRNK1 b - - 4 18	b8a8	f8c8 c2d3 b7d8 d1d2 b8a8 g2g4 c5c4 d3c2 c7b7 f1g3 a8a1 e1a1 c8a8 a1a8	-	This puts the rook on a8.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
20	120	engine_near_top	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-37	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=c2d3_gap=7cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	37	r4rk1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2P1BN1P/2B2PP1/R2QRNK1 w - - 5 19	d1d2	c2d3 f8b8 f1g3 a8a1 d1a1 c7c8 a1b2 g7g6 e3h6 c5c4 d3b1 b7d8 b2d2	-	This puts the queen on d2.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
21	120	engine_near_top	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-38	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=f8b8_gap=6cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	38	r4rk1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2P1BN1P/2BQ1PP1/R3RNK1 b - - 6 19	f8c8	f8b8 f1g3 g7g6 c2d3 c7c8 e3g5 a8a1 e1a1 b8a8 d2b2	-	This puts the rook on c8.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
22	120	engine_near_top	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-40	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	near_top_multipv_contains_played_top=c5c4_gap=25cp	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	40	r1r3k1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2PBBN1P/3Q1PP1/R3RNK1 b - - 8 20	g7g6	c5c4 d3c2 b7d8 f3h2 c7b7 a1a5 f6e8 f2f4 a8a5 b4a5	-	This moves the pawn to g6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement
23	40	engine_blocked	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-32	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	engine_top_move_disagrees	engine:source_move_absent_from_multipv;owner:carlsbad_probe_missing	-	pv_available_top_differs:f6e8	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	32	1rbn1rk1/2q1bppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2BN1PP1/R1BQR1K1 b - - 0 16	d8b7	f6e8 d2f1 g7g6 f3h2 c8d7 h2g4 h7h5 g4h6 g8g7 f1g3	-	This puts the knight on b7.	admission_blocked: engine:source_move_absent_from_multipv;owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
24	40	engine_blocked	source-source-karpov-unzicker-1974-break-prevention-backward-pawn-targeting-ply-35	Karpov-Unzicker, Nice Olympiad 1974	B:carlsbad_fixed_target	reject_owner_missing	engine_top_move_disagrees	engine:source_move_absent_from_multipv;owner:carlsbad_probe_missing	-	pv_available_top_differs:d1e2	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	35	1r3rk1/1nqbbppp/3p1n2/1ppPp3/1P2P3/2P2N1P/2B2PP1/R1BQRNK1 w - - 3 18	c1e3	d1e2 b8a8 c1g5 f8c8 c2d3 c5c4 d3c2 b7d8 f1g3 h7h6 g5d2 a8a1 e1a1 c7b7 f3h2 c8a8 a1f1 a8a2	-	This puts the bishop on e3.	admission_blocked: engine:source_move_absent_from_multipv;owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
