id	reviewGroup	release	taxonomy	plannerOwner	primary	moveReview	leak	rejected	contractId	contractStatus	contractFailures	note
K08D-suppressed-trade-near-miss	C:blocker	Suppressed	root_best_near_miss	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	Root-best near miss stays closed.
MI5-suppressed-queen-trade	C:blocker	Suppressed	tactic_first_relief	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Queen-trade relief row stays closed.
natural-K09A	natural:blocker	CertifiedOwner	certified_coordination_not_task_shift	WhatMattersHere:PositionProbe:target_focused_coordination_probe	the pressure is coordinated on c6.	The key strategic fact here is that the pressure is coordinated on c6. So the task is to keep the pressure coordinated on c6 until the target has to give way.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:target_focused_coordination	Releasable	none	Setup move only; the B7 handoff still belongs to the later simplifying branch.
natural-K09B	natural:C	SupportedLocal	certified_owner_path	WhyThis:MoveDelta:target	This trade keeps the same local edge on e6.	A key idea is that This trade keeps the same local edge on e6.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:simplification_window	Releasable	none	Exact d4e6|f7e6 branch now carries planner-owned same-task simplification on the existing MoveDelta -> WhyThis lane; do not reuse it as B7 evidence.
natural-K09F	natural:C	SupportedLocal	certified_owner_path	WhyThis:MoveDelta:target	This trade keeps the same local edge on e6.	A key idea is that This trade keeps the same local edge on e6.	false	WhatMattersHere:position_probe_missing	subplan:simplification_window	Releasable	none	Exact d4e6|f7e6 branch survives only as same-task simplification; residual breadth keeps it out of any B7 shifted-task reading.
natural-K09D	natural:blocker	CertifiedOwner	same_job_or_conversion_relabel_blocked	WhatMattersHere:PositionProbe:target_focused_coordination_probe	the pressure is coordinated on c6.	The key strategic fact here is that the pressure is coordinated on c6. So the task is to keep the pressure coordinated on c6 until the target has to give way.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	runtime:target_focused_coordination	Releasable	none	Root-best keeps the branch in coordination and prophylaxis rather than simplification ownership.
natural-K09E	natural:blocker	Suppressed	rival_release	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	The best branch stays anchored to file pressure and release features.
natural-K08A	natural:C-blocker	Suppressed	attacking_piece_trade_unowned	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Candidate-only row for trading off Black's advanced c4-knight; promote only if the planner can materialize a distinct move-local pressure-reduction owner instead of tactic-first or generic exchange prose.
natural-K08D	natural:C-blocker	Suppressed	root_best_near_miss	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	The local Bxf6 trade idea exists, but the row must fail closed if the exact root-best branch stays with g-pawn expansion before any attacking-piece exchange.
natural-MI5	natural:C-blocker	Suppressed	tactic_first_relief	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Exploratory exact row for the existing queen-trade-shield slice: count it only if trading White's queen on d6 materializes as a move-local pressure-reduction owner rather than generic favorable exchange.
natural-D01A	natural:blocker	Suppressed	prophylaxis_absorption	-	-	The move keeps the opponent's activity restrained and aims to consolidate.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Exact a3 branch makes b4 unavailable, but Cluster D may open only if the one-square effect materializes as its own move-local owner rather than collapsing into the prophylactic named-resource lane or generic route-denial prose.
natural-D01B	natural:blocker	Suppressed	file_entry_relabel_boundary	-	-	The move coordinates the pieces for a central or wing pawn break.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Exact boundary contrast only: the c-file plus b4 pair belongs to the promoted half-open-file packet and must remain outside standalone entry-square review.
natural-K03A	natural:B	Suppressed	certified_or_fail_closed_target_fixation	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Fixed-target Carlsbad pressure stays the family truth.
natural-B15A	natural:B	Suppressed	certified_or_fail_closed_target_fixation	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	The branch stays in fixed-chain pressure and queen-side release.
natural-B16B	natural:B	Suppressed	certified_or_fail_closed_target_fixation	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Trade resistance still serves fixed-target pressure, not a new B7 task.
natural-MI2	natural:blocker	Suppressed	same_job_or_conversion_relabel_blocked	-	-	-	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Trade ideas exist only off the root best branch, so the row fail-closes.
natural-MI3	natural:blocker	Suppressed	same_job_or_conversion_relabel_blocked	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	Cash-in conversion dominates the branch and would relabel B1 into B7.
natural-B21	natural:B	Suppressed	certified_or_fail_closed_target_fixation	-	-	The move improves piece activity and coordination.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhatChanged:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target	subplan:static_weakness_fixation	Releasable	none	Target fixation is the whole task; no simplification handoff appears.
natural-B21A	natural:B	Suppressed	certified_or_fail_closed_target_fixation	-	-	The move improves piece activity and coordination.	false	WhatMattersHere:position_probe_missing | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhatChanged:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target	subplan:static_weakness_fixation	Releasable	none	The follow-up persists in the same target-fixation family.
source-evans-opsahl-1950	source:B:carlsbad_fixed_target	Suppressed	source_carlsbad_fixed_target	-	-	-	false	WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	Review-only Carlsbad fixed-target fixture retained for deferred blocker visibility; current source-window review reports missing Carlsbad owner proof.
source-carlsen-anand-2014-g6	source:C:queen_trade_boundary	SupportedLocal	source_queen_trade_boundary	WhyThis:MoveDelta:queen_trade_shield	This exchange moves the game into the queenless branch.	8. Nxc6: A key idea is that This exchange moves the game into the queenless branch.	false	WhatMattersHere:position_probe_missing	subplan:queen_trade_shield	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-carlsen-anand-2014-g6-queen-trade-completion	source:C:queen_trade_boundary	SupportedLocal	source_queen_trade_boundary	WhyThis:MoveDelta:queen_trade_shield	This exchange moves the game into the queenless branch.	9. Qxd8+: A key idea is that This exchange moves the game into the queenless branch. The move Qxd8+ stays best because it keeps the immediate material pressure from taking over.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:queen_trade_shield	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-capablanca-golombek-1939-iqp-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	23. b5: A key idea is that This sequence leaves an isolated pawn as the local target. The move b5 stays best because it keeps the immediate material pressure from taking over.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-evans-opsahl-1950-iqp-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	17. Rfc1: A key idea is that This sequence leaves an isolated pawn as the local target.	false	WhatMattersHere:position_probe_missing	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-karpov-andersson-1975-iqp-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	25. cxd5: A key idea is that This sequence leaves an isolated pawn as the local target. The move cxd5 stays best because it keeps the immediate positional pressure from taking over.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-alekhine-bogoljubow-1936-iqp-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	10... Nxc3: A key idea is that This sequence leaves an isolated pawn as the local target. The move Nxc3 stays best because it keeps the immediate material pressure from taking over.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-najdorf-sergeant-1939-iqp-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	12. Nxd5: A key idea is that This sequence leaves an isolated pawn as the local target.	false	WhatMattersHere:position_probe_missing	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-botvinnik-vidmar-1936-iqp-opening-inducement	source:C:iqp_inducement	SupportedLocal	source_iqp_inducement	WhyThis:MoveDelta:iqp_inducement_probe	This sequence leaves an isolated pawn as the local target.	8... cxd4: A key idea is that This sequence leaves an isolated pawn as the local target. Both candidate branches are viable: the played cxd4 (pawn break) trades via 8... cxd4 9. exd4 dxc4, whereas h6 (positional maneuvering) trades via 8... h6 9. Bxf6 Nxf6.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:iqp_inducement	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-botvinnik-vidmar-1936-flank-clamp	source:A:flank_clamp	CertifiedOwner	source_flank_clamp	WhatMattersHere:PositionProbe:color_complex_squeeze_probe	A minor piece keeps the color-complex pressure on e5.	13. Ne5: The key strategic fact here is that A minor piece keeps the color-complex pressure on e5. So the task is to keep the minor-piece color-complex pressure centered on e5 stable.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:color_complex_squeeze	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-botvinnik-vidmar-1936-e4-color-complex-squeeze	source:A:flank_clamp	CertifiedOwner	source_flank_clamp	WhatMattersHere:PositionProbe:color_complex_squeeze_probe	A minor piece keeps the color-complex pressure on e4.	15... Bd5: The key strategic fact here is that A minor piece keeps the color-complex pressure on e4. So the task is to keep the minor-piece color-complex pressure centered on e4 stable.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	runtime:color_complex_squeeze	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-camara-bazan-1960-d5-color-complex-squeeze	source:A:flank_clamp	CertifiedOwner	source_flank_clamp	WhatMattersHere:PositionProbe:color_complex_squeeze_probe	A minor piece keeps the color-complex pressure on d5.	14. Bb5: The key strategic fact here is that A minor piece keeps the color-complex pressure on d5. So the task is to keep the minor-piece color-complex pressure centered on d5 stable.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	runtime:color_complex_squeeze	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-pfleger-maalouf-1961-d5-color-complex-squeeze	source:A:flank_clamp	CertifiedOwner	source_flank_clamp	WhatMattersHere:PositionProbe:color_complex_squeeze_probe	A minor piece keeps the color-complex pressure on d5.	17. a5: The key strategic fact here is that A minor piece keeps the color-complex pressure on d5. So the task is to keep the minor-piece color-complex pressure centered on d5 stable.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:color_complex_squeeze	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-capablanca-golombek-1939-bad-piece-liquidation	source:C:bad_piece_liquidation	SupportedLocal	source_bad_piece_liquidation	WhyThis:MoveDelta:bad_piece_liquidation	This trade clears the bad piece from the local branch.	22. Bxd6: A key idea is that This trade clears the bad piece from the local branch.	false	WhatMattersHere:position_probe_missing	subplan:bad_piece_liquidation	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-bad-piece-liquidation-pilot	source:C:bad_piece_liquidation	SupportedLocal	source_bad_piece_liquidation	WhyThis:MoveDelta:bad_piece_liquidation	This trade clears the bad piece from the local branch.	1. Ba3+: A key idea is that This trade clears the bad piece from the local branch.	false	WhatMattersHere:position_probe_missing	subplan:bad_piece_liquidation	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-lokvenc-czerniak-1952-b6-b5-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhyNow:admission_missing_owner_candidate+scene=forcing_defense	runtime:neutralize_key_break	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-maderna-palermo-1955-a6-a5-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=route | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=route | WhyNow:admission_missing_owner_candidate+scene=forcing_defense	runtime:neutralize_key_break	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-maderna-palermo-1955-central-break-timing	source:A:central_break_timing	SupportedLocal	source_central_break_timing	WhyThis:MoveDelta:central_break_timing	This also plays the e4-e5 break at this moment.	17. e5: This also plays the e4-e5 break at this moment. Both candidate branches are viable: the played e5 (prophylactic defense) advances via 17. e5 dxe5 18. fxe5, whereas Be3 (prophylactic defense) follows 17. Be3 b5 18. axb6.	false	WhatMattersHere:position_probe_missing	subplan:central_break_timing	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-camara-bazan-1960-b7-b5-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target	runtime:neutralize_key_break	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-sliwa-gromek-1960-a6-a5-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhyNow:admission_missing_owner_candidate+scene=forcing_defense	runtime:neutralize_key_break	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-pfleger-maalouf-1961-a6-a5-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:color_complex_squeeze	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-polugaevsky-giorgadze-1956-c5-c4-break-prevention	source:A:break_prevention	Suppressed	source_break_prevention	-	-	-	false	WhatMattersHere:position_probe_missing | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target | WhatChanged:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=target	runtime:neutralize_key_break	Releasable	none	Review-only source break-prevention fixture retained for deferred blocker visibility; current source-window review does not admit public authority.
source-botvinnik-vidmar-1936-simplification-window	source:C:simplification_window	SupportedLocal	source_simplification_window	WhyThis:MoveDelta:target	This trade keeps the same local edge on d5.	16. Nxd5: A key idea is that This trade keeps the same local edge on d5. Both candidate branches are viable: the played Nxd5 (piece centralization) trades via 16. Nxd5 Nfxd5 17. Bxe7, whereas Ba4 (prophylactic defense) trades via 16. Ba4 Bc6 17. Nxc6.	false	WhatMattersHere:position_probe_missing	subplan:simplification_window	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-salov-ljubojevic-1992-simplification-window	source:C:simplification_window	Suppressed	source_simplification_window	-	-	36. Qxd5: This captures the pawn on d5. The local material change is a captured pawn.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
source-boleslavsky-nezhmetdinov-1950-static-weakness-fixation	source:B:static_weakness_fixation	Suppressed	source_static_weakness_fixation	-	-	10. Nd2: This puts the knight on d2.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhatChanged:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target	subplan:static_weakness_fixation	Releasable	none	Fixed source surface fixture copied from prior SourceReview evidence; surface-contract replay only.
screen-K03B	screen:B:fixed_target_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only Carlsbad target candidate; no PV owner proof.
screen-K03C	screen:B:fixed_target_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only Carlsbad target candidate; no PV owner proof.
screen-K03D	screen:B:fixed_target_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only Carlsbad target candidate; no PV owner proof.
screen-K09C	screen:C:simplification_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only IQP simplification candidate; no same-branch owner proof.
screen-K09G	screen:C:simplification_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move keeps the opponent's activity restrained and aims to consolidate.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only IQP simplification candidate; no same-branch owner proof.
screen-K09H	screen:C:simplification_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only IQP simplification candidate; no same-branch owner proof.
screen-K09I	screen:C:simplification_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only IQP simplification candidate; no same-branch owner proof.
screen-K08B	screen:C:attacker_trade_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only attacking-piece trade candidate; no root PV owner proof.
screen-K08C	screen:C:attacker_trade_candidate	Suppressed	fen_only_owner_path_missing	-	-	The move improves piece activity and looks for better squares.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	FEN-only attacking-piece trade candidate; no root PV owner proof.
